# 守山自衛隊前 名鉄瀬戸線 尾張瀬戸方面
# ※代表値サンプル。運用前に公式時刻表で置き換えること。
5	00 20 40
6	00 08 15 22 30 38 45 52
7	00 05 10 15 20 25 30 35 40 45 50 55
8	00 05 10 15 20 25 30 35 40 45 50 55
9	00 08 15 22 30 38 45 52
10	00 10 20 30 40 50
11	00 10 20 30 40 50
12	00 10 20 30 40 50
13	00 10 20 30 40 50
14	00 10 20 30 40 50
15	00 10 20 30 40 50
16	00 08 15 22 30 38 45 52
17	00 05 10 15 20 25 30 35 40 45 50 55
18	00 05 10 15 20 25 30 35 40 45 50 55
19	00 08 15 22 30 38 45 52
20	00 08 15 22 30 38 45 52
21	00 10 20 30 40 50
22	00 10 20 30 40 50
23	00 20 40
24	00 20 40
