# 名古屋 地下鉄東山線 藤が丘方面
# ※代表値サンプル。運用前に公式時刻表で置き換えること。
5	00 10 20 30 40 50
6	00 08 15 22 30 38 45 52
7	00 08 15 22 30 38 45 52
8	00 08 15 22 30 38 45 52
9	00 08 15 22 30 38 45 52
10	00 08 15 22 30 38 45 52
11	00 08 15 22 30 38 45 52
12	00 08 15 22 30 38 45 52
13	00 08 15 22 30 38 45 52
14	00 08 15 22 30 38 45 52
15	00 08 15 22 30 38 45 52
16	00 08 15 22 30 38 45 52
17	00 08 15 22 30 38 45 52
18	00 08 15 22 30 38 45 52
19	00 08 15 22 30 38 45 52
20	00 08 15 22 30 38 45 52
21	00 08 15 22 30 38 45 52
22	00 08 15 22 30 38 45 52
23	00 10 20 30 40 50
24	00 10 20 30 40 50
