# 栄 地下鉄東山線 藤が丘方面
# ※代表値サンプル。運用前に公式時刻表で置き換えること。
5	00 10 20 30 40 50
6	00 04 09 13 17 21 26 30 34 39 43 47 51 56
7	00 03 07 10 13 17 20 23 27 30 33 37 40 43 47 50 53 57
8	00 03 07 10 13 17 20 23 27 30 33 37 40 43 47 50 53 57
9	00 04 09 13 17 21 26 30 34 39 43 47 51 56
10	00 07 13 20 27 33 40 47 53
11	00 07 13 20 27 33 40 47 53
12	00 07 13 20 27 33 40 47 53
13	00 07 13 20 27 33 40 47 53
14	00 07 13 20 27 33 40 47 53
15	00 07 13 20 27 33 40 47 53
16	00 04 09 13 17 21 26 30 34 39 43 47 51 56
17	00 03 07 10 13 17 20 23 27 30 33 37 40 43 47 50 53 57
18	00 03 07 10 13 17 20 23 27 30 33 37 40 43 47 50 53 57
19	00 04 09 13 17 21 26 30 34 39 43 47 51 56
20	00 04 09 13 17 21 26 30 34 39 43 47 51 56
21	00 07 13 20 27 33 40 47 53
22	00 07 13 20 27 33 40 47 53
23	00 10 20 30 40 50
24	00 10 20 30 40 50
