# 栄 地下鉄東山線 藤が丘方面
# ※代表値サンプル。運用前に公式時刻表で置き換えること。
5	00 12 24 36 48
6	00 09 17 26 34 43 51
7	00 09 17 26 34 43 51
8	00 09 17 26 34 43 51
9	00 09 17 26 34 43 51
10	00 09 17 26 34 43 51
11	00 09 17 26 34 43 51
12	00 09 17 26 34 43 51
13	00 09 17 26 34 43 51
14	00 09 17 26 34 43 51
15	00 09 17 26 34 43 51
16	00 09 17 26 34 43 51
17	00 09 17 26 34 43 51
18	00 09 17 26 34 43 51
19	00 09 17 26 34 43 51
20	00 09 17 26 34 43 51
21	00 09 17 26 34 43 51
22	00 09 17 26 34 43 51
23	00 12 24 36 48
24	00 12 24 36 48
