# 大曽根 JR中央本線 名古屋方面
# ※代表値サンプル。運用前に公式時刻表で置き換えること。
5	00 20 40
6	00 07 13 20 27 33 40 47 53
7	00 05 09 14 18 23 28 32 37 42 46 51 55
8	00 05 09 14 18 23 28 32 37 42 46 51 55
9	00 07 13 20 27 33 40 47 53
10	00 10 20 30 40 50
11	00 10 20 30 40 50
12	00 10 20 30 40 50
13	00 10 20 30 40 50
14	00 10 20 30 40 50
15	00 10 20 30 40 50
16	00 07 13 20 27 33 40 47 53
17	00 05 09 14 18 23 28 32 37 42 46 51 55
18	00 05 09 14 18 23 28 32 37 42 46 51 55
19	00 07 13 20 27 33 40 47 53
20	00 07 13 20 27 33 40 47 53
21	00 10 20 30 40 50
22	00 10 20 30 40 50
23	00 20 40
24	00 20 40
