# 大曽根 地下鉄名城線 金山・新瑞橋方面（右回り）
# ※代表値サンプル。運用前に公式時刻表で置き換えること。
5	00 12 24 36 48
6	00 05 11 16 22 27 33 38 44 49 55
7	00 04 08 12 16 20 24 28 32 36 40 44 48 52 56
8	00 04 08 12 16 20 24 28 32 36 40 44 48 52 56
9	00 05 11 16 22 27 33 38 44 49 55
10	00 08 15 22 30 38 45 52
11	00 08 15 22 30 38 45 52
12	00 08 15 22 30 38 45 52
13	00 08 15 22 30 38 45 52
14	00 08 15 22 30 38 45 52
15	00 08 15 22 30 38 45 52
16	00 05 11 16 22 27 33 38 44 49 55
17	00 04 08 12 16 20 24 28 32 36 40 44 48 52 56
18	00 04 08 12 16 20 24 28 32 36 40 44 48 52 56
19	00 05 11 16 22 27 33 38 44 49 55
20	00 05 11 16 22 27 33 38 44 49 55
21	00 08 15 22 30 38 45 52
22	00 08 15 22 30 38 45 52
23	00 12 24 36 48
24	00 12 24 36 48
